date,geo,sales_value,sales_units
2023-01-22,DMA_001,25752.42,480
2023-01-22,DMA_002,32824.34,651
2023-01-22,DMA_003,39114.03,772
2023-01-22,DMA_004,40444.61,748
2023-01-22,DMA_005,49504.15,1059
2023-01-22,DMA_006,57090.62,1079
2023-01-22,DMA_007,62939.57,1217
2023-01-22,DMA_008,62341.27,1165
2023-01-22,DMA_009,74932.52,1495
2023-01-22,DMA_010,77154.11,1533
2023-01-23,DMA_001,23002.97,507
2023-01-23,DMA_002,29390.28,616
2023-01-23,DMA_003,34728.4,694
2023-01-23,DMA_004,39941.07,804
2023-01-23,DMA_005,46438.8,944
2023-01-23,DMA_006,48618.36,1024
2023-01-23,DMA_007,55441.08,1210
2023-01-23,DMA_008,65710.54,1268
2023-01-23,DMA_009,69529.32,1277
2023-01-23,DMA_010,69660.08,1274
2023-01-24,DMA_001,21519.8,457
2023-01-24,DMA_002,27242.75,520
2023-01-24,DMA_003,35300.82,718
2023-01-24,DMA_004,43030.84,816
2023-01-24,DMA_005,41511.94,858
2023-01-24,DMA_006,43782.85,881
2023-01-24,DMA_007,55627.74,1036
2023-01-24,DMA_008,64970.97,1399
2023-01-24,DMA_009,66580.73,1364
2023-01-24,DMA_010,69797.59,1322
2023-01-25,DMA_001,22596.12,453
2023-01-25,DMA_002,28468.05,621
2023-01-25,DMA_003,35138.93,697
2023-01-25,DMA_004,39194.67,836
2023-01-25,DMA_005,45077.0,843
2023-01-25,DMA_006,48570.32,978
2023-01-25,DMA_007,53616.85,1131
2023-01-25,DMA_008,60632.08,1202
2023-01-25,DMA_009,61916.33,1190
2023-01-25,DMA_010,70812.36,1394
2023-01-26,DMA_001,21077.38,393
2023-01-26,DMA_002,26138.06,565
2023-01-26,DMA_003,33485.78,651
2023-01-26,DMA_004,40078.54,864
2023-01-26,DMA_005,46158.29,929
2023-01-26,DMA_006,51571.53,1006
2023-01-26,DMA_007,48387.88,928
2023-01-26,DMA_008,58475.31,1127
2023-01-26,DMA_009,60033.92,1214
2023-01-26,DMA_010,75046.98,1580
2023-01-27,DMA_001,23710.85,502
2023-01-27,DMA_002,27756.46,519
2023-01-27,DMA_003,33942.95,682
2023-01-27,DMA_004,36109.97,685
2023-01-27,DMA_005,43862.78,885
2023-01-27,DMA_006,50662.65,1082
2023-01-27,DMA_007,51268.28,937
2023-01-27,DMA_008,58054.25,1176
2023-01-27,DMA_009,63610.39,1311
2023-01-27,DMA_010,69390.56,1284
2023-01-28,DMA_001,24784.24,549
2023-01-28,DMA_002,32034.43,627
2023-01-28,DMA_003,39626.29,812
2023-01-28,DMA_004,42458.6,842
2023-01-28,DMA_005,48912.68,1069
2023-01-28,DMA_006,55710.69,1134
2023-01-28,DMA_007,56403.29,1092
2023-01-28,DMA_008,65386.69,1431
2023-01-28,DMA_009,76305.26,1656
2023-01-28,DMA_010,74490.26,1429
2023-01-29,DMA_001,26602.63,505
2023-01-29,DMA_002,33172.21,622
2023-01-29,DMA_003,33218.83,643
2023-01-29,DMA_004,42303.51,832
2023-01-29,DMA_005,51167.25,1128
2023-01-29,DMA_006,57072.53,1120
2023-01-29,DMA_007,65812.77,1218
2023-01-29,DMA_008,68965.51,1458
2023-01-29,DMA_009,74065.85,1561
2023-01-29,DMA_010,80477.19,1559
2023-01-30,DMA_001,21768.45,446
2023-01-30,DMA_002,29767.39,648
2023-01-30,DMA_003,34026.36,746
2023-01-30,DMA_004,38855.21,760
2023-01-30,DMA_005,48034.95,939
2023-01-30,DMA_006,50981.42,1019
2023-01-30,DMA_007,52800.26,972
2023-01-30,DMA_008,61540.29,1180
2023-01-30,DMA_009,66194.97,1237
2023-01-30,DMA_010,80315.25,1517
2023-01-31,DMA_001,21884.29,458
2023-01-31,DMA_002,27600.66,511
2023-01-31,DMA_003,34756.07,711
2023-01-31,DMA_004,38572.53,702
2023-01-31,DMA_005,42451.34,881
2023-01-31,DMA_006,45372.3,826
2023-01-31,DMA_007,59193.36,1270
2023-01-31,DMA_008,58859.15,1280
2023-01-31,DMA_009,64339.74,1233
2023-01-31,DMA_010,73260.72,1488
2023-02-01,DMA_001,28636.19,548
2023-02-01,DMA_002,36412.4,691
2023-02-01,DMA_003,40108.89,832
2023-02-01,DMA_004,45037.58,880
2023-02-01,DMA_005,50325.95,1077
2023-02-01,DMA_006,59520.2,1207
2023-02-01,DMA_007,65739.46,1212
2023-02-01,DMA_008,72311.85,1347
2023-02-01,DMA_009,78387.31,1446
2023-02-01,DMA_010,86965.32,1926
2023-02-02,DMA_001,24819.83,498
2023-02-02,DMA_002,35841.9,686
2023-02-02,DMA_003,40892.02,766
2023-02-02,DMA_004,46486.83,893
2023-02-02,DMA_005,50982.22,977
2023-02-02,DMA_006,58962.79,1212
2023-02-02,DMA_007,67545.72,1463
2023-02-02,DMA_008,72034.45,1352
2023-02-02,DMA_009,82091.53,1719
2023-02-02,DMA_010,84525.8,1721
2023-02-03,DMA_001,29823.33,570
2023-02-03,DMA_002,35198.81,643
2023-02-03,DMA_003,39922.63,851
2023-02-03,DMA_004,53148.33,1011
2023-02-03,DMA_005,58978.86,1293
2023-02-03,DMA_006,59785.97,1295
2023-02-03,DMA_007,65843.49,1404
2023-02-03,DMA_008,73248.55,1372
2023-02-03,DMA_009,87167.49,1869
2023-02-03,DMA_010,85105.67,1743
2023-02-04,DMA_001,31715.22,619
2023-02-04,DMA_002,34632.39,745
2023-02-04,DMA_003,46159.87,1011
2023-02-04,DMA_004,53839.73,1088
2023-02-04,DMA_005,50750.39,1031
2023-02-04,DMA_006,67414.71,1381
2023-02-04,DMA_007,75813.88,1617
2023-02-04,DMA_008,83294.88,1576
2023-02-04,DMA_009,87807.94,1906
2023-02-04,DMA_010,97183.3,1783
2023-02-05,DMA_001,31318.97,573
2023-02-05,DMA_002,38487.27,730
2023-02-05,DMA_003,43359.16,961
2023-02-05,DMA_004,51392.17,1103
2023-02-05,DMA_005,61182.7,1144
2023-02-05,DMA_006,70084.22,1312
2023-02-05,DMA_007,81757.3,1577
2023-02-05,DMA_008,87091.46,1756
2023-02-05,DMA_009,93294.78,2001
2023-02-05,DMA_010,105006.73,2276
2023-02-06,DMA_001,29223.75,614
2023-02-06,DMA_002,33202.77,619
2023-02-06,DMA_003,42518.71,792
2023-02-06,DMA_004,44017.48,823
2023-02-06,DMA_005,54900.21,1058
2023-02-06,DMA_006,61361.12,1175
2023-02-06,DMA_007,65833.06,1361
2023-02-06,DMA_008,71235.75,1552
2023-02-06,DMA_009,78610.72,1594
2023-02-06,DMA_010,90310.53,1840
2023-02-07,DMA_001,26020.04,497
2023-02-07,DMA_002,34182.48,635
2023-02-07,DMA_003,38993.38,861
2023-02-07,DMA_004,49647.14,1069
2023-02-07,DMA_005,57142.7,1145
2023-02-07,DMA_006,62148.78,1372
2023-02-07,DMA_007,71201.1,1540
2023-02-07,DMA_008,72504.64,1340
2023-02-07,DMA_009,79878.06,1750
2023-02-07,DMA_010,88322.69,1826
2023-02-08,DMA_001,28613.93,573
2023-02-08,DMA_002,35208.18,755
2023-02-08,DMA_003,38780.33,758
2023-02-08,DMA_004,47796.04,905
2023-02-08,DMA_005,53300.74,1081
2023-02-08,DMA_006,66097.75,1381
2023-02-08,DMA_007,67219.96,1260
2023-02-08,DMA_008,70123.99,1278
2023-02-08,DMA_009,74130.66,1508
2023-02-08,DMA_010,90655.01,1735
2023-02-09,DMA_001,31305.33,674
2023-02-09,DMA_002,30566.81,606
2023-02-09,DMA_003,40950.46,877
2023-02-09,DMA_004,47783.85,960
2023-02-09,DMA_005,54110.67,1147
2023-02-09,DMA_006,60248.05,1194
2023-02-09,DMA_007,71630.87,1333
2023-02-09,DMA_008,71138.42,1352
2023-02-09,DMA_009,81656.27,1725
2023-02-09,DMA_010,81953.26,1494
2023-02-10,DMA_001,25246.62,490
2023-02-10,DMA_002,37202.42,729
2023-02-10,DMA_003,40831.57,776
2023-02-10,DMA_004,49440.37,901
2023-02-10,DMA_005,51171.59,931
2023-02-10,DMA_006,61594.27,1197
2023-02-10,DMA_007,66883.92,1469
2023-02-10,DMA_008,74036.83,1363
2023-02-10,DMA_009,79723.87,1644
2023-02-10,DMA_010,90527.14,1947
2023-02-11,DMA_001,31325.13,593
2023-02-11,DMA_002,39934.74,780
2023-02-11,DMA_003,49715.85,941
2023-02-11,DMA_004,54769.66,1005
2023-02-11,DMA_005,61093.43,1249
2023-02-11,DMA_006,63594.04,1302
2023-02-11,DMA_007,70682.69,1376
2023-02-11,DMA_008,84361.56,1734
2023-02-11,DMA_009,88687.91,1856
2023-02-11,DMA_010,90621.94,1661
2023-02-12,DMA_001,33866.88,671
2023-02-12,DMA_002,41067.83,761
2023-02-12,DMA_003,47068.89,996
2023-02-12,DMA_004,48378.66,1030
2023-02-12,DMA_005,54659.59,1041
2023-02-12,DMA_006,67006.75,1475
2023-02-12,DMA_007,75963.42,1660
2023-02-12,DMA_008,78418.72,1627
2023-02-12,DMA_009,83728.58,1586
2023-02-12,DMA_010,98839.52,1810
2023-02-13,DMA_001,29033.91,620
2023-02-13,DMA_002,35775.72,778
2023-02-13,DMA_003,40686.93,757
2023-02-13,DMA_004,45179.62,934
2023-02-13,DMA_005,54640.02,1120
2023-02-13,DMA_006,56983.96,1039
2023-02-13,DMA_007,66040.58,1255
2023-02-13,DMA_008,73518.84,1352
2023-02-13,DMA_009,76313.63,1422
2023-02-13,DMA_010,90070.26,1770
2023-02-14,DMA_001,26217.48,532
2023-02-14,DMA_002,34551.67,665
2023-02-14,DMA_003,42762.28,783
2023-02-14,DMA_004,47644.59,915
2023-02-14,DMA_005,57477.58,1123
2023-02-14,DMA_006,58861.03,1116
2023-02-14,DMA_007,63475.22,1225
2023-02-14,DMA_008,75831.17,1470
2023-02-14,DMA_009,74128.61,1476
2023-02-14,DMA_010,86506.21,1684
2023-02-15,DMA_001,25089.05,482
2023-02-15,DMA_002,35758.79,695
2023-02-15,DMA_003,40083.17,806
2023-02-15,DMA_004,44320.79,828
2023-02-15,DMA_005,53686.14,1168
2023-02-15,DMA_006,58061.8,1121
2023-02-15,DMA_007,60858.13,1138
2023-02-15,DMA_008,71045.14,1292
2023-02-15,DMA_009,77579.48,1670
2023-02-15,DMA_010,78871.99,1601
2023-02-16,DMA_001,27503.94,577
2023-02-16,DMA_002,35412.18,695
2023-02-16,DMA_003,42737.5,933
2023-02-16,DMA_004,51640.99,959
2023-02-16,DMA_005,55397.11,1119
2023-02-16,DMA_006,65132.91,1189
2023-02-16,DMA_007,65366.43,1275
2023-02-16,DMA_008,75329.64,1591
2023-02-16,DMA_009,85870.63,1729
2023-02-16,DMA_010,88367.71,1840
2023-02-17,DMA_001,29484.38,645
2023-02-17,DMA_002,33765.3,623
2023-02-17,DMA_003,42086.51,841
2023-02-17,DMA_004,43725.75,908
2023-02-17,DMA_005,48386.75,934
2023-02-17,DMA_006,63671.54,1378
2023-02-17,DMA_007,71016.69,1310
2023-02-17,DMA_008,73395.65,1584
2023-02-17,DMA_009,76568.17,1482
2023-02-17,DMA_010,82994.91,1513
2023-02-18,DMA_001,31662.69,611
2023-02-18,DMA_002,36778.71,810
2023-02-18,DMA_003,44957.27,831
2023-02-18,DMA_004,47544.26,913
2023-02-18,DMA_005,57232.16,1194
2023-02-18,DMA_006,68416.47,1385
2023-02-18,DMA_007,72543.05,1338
2023-02-18,DMA_008,74251.44,1454
2023-02-18,DMA_009,101794.28,1930
2023-02-18,DMA_010,103183.56,1884
2023-02-19,DMA_001,33116.77,724
2023-02-19,DMA_002,35043.12,751
2023-02-19,DMA_003,46513.63,980
2023-02-19,DMA_004,54335.86,1106
2023-02-19,DMA_005,61557.62,1122
2023-02-19,DMA_006,61599.3,1316
2023-02-19,DMA_007,73649.67,1595
2023-02-19,DMA_008,84485.04,1868
2023-02-19,DMA_009,90634.2,1976
2023-02-19,DMA_010,97812.43,2003
2023-02-20,DMA_001,27329.93,527
2023-02-20,DMA_002,29750.89,627
2023-02-20,DMA_003,40905.36,791
2023-02-20,DMA_004,50327.1,1012
2023-02-20,DMA_005,54134.35,1042
2023-02-20,DMA_006,64080.82,1201
2023-02-20,DMA_007,70880.17,1507
2023-02-20,DMA_008,77884.1,1689
2023-02-20,DMA_009,81576.6,1559
2023-02-20,DMA_010,93565.14,1840
2023-02-21,DMA_001,28769.89,562
2023-02-21,DMA_002,33224.97,699
2023-02-21,DMA_003,39517.56,864
2023-02-21,DMA_004,49219.91,947
2023-02-21,DMA_005,51128.31,1093
2023-02-21,DMA_006,58383.25,1292
2023-02-21,DMA_007,62997.57,1264
2023-02-21,DMA_008,69401.73,1393
2023-02-21,DMA_009,80747.93,1519
2023-02-21,DMA_010,95103.52,1769
2023-02-22,DMA_001,29146.66,530
2023-02-22,DMA_002,34464.61,667
2023-02-22,DMA_003,41027.63,899
2023-02-22,DMA_004,44037.16,834
2023-02-22,DMA_005,53308.85,981
2023-02-22,DMA_006,57840.61,1081
2023-02-22,DMA_007,66170.69,1371
2023-02-22,DMA_008,70860.06,1550
2023-02-22,DMA_009,80471.07,1667
2023-02-22,DMA_010,81725.37,1798
2023-02-23,DMA_001,27973.07,537
2023-02-23,DMA_002,36511.26,702
2023-02-23,DMA_003,42336.91,916
2023-02-23,DMA_004,54003.31,1067
2023-02-23,DMA_005,58838.18,1182
2023-02-23,DMA_006,60356.3,1151
2023-02-23,DMA_007,72592.99,1490
2023-02-23,DMA_008,82755.55,1729
2023-02-23,DMA_009,82345.96,1524
2023-02-23,DMA_010,90294.92,1707
2023-02-24,DMA_001,26980.25,524
2023-02-24,DMA_002,36585.58,694
2023-02-24,DMA_003,38106.05,802
2023-02-24,DMA_004,47990.17,1050
2023-02-24,DMA_005,49918.72,935
2023-02-24,DMA_006,58546.88,1092
2023-02-24,DMA_007,66442.18,1443
2023-02-24,DMA_008,70902.26,1400
2023-02-24,DMA_009,81246.16,1544
2023-02-24,DMA_010,89308.73,1873
2023-02-25,DMA_001,30522.39,612
2023-02-25,DMA_002,38820.83,716
2023-02-25,DMA_003,44776.2,861
2023-02-25,DMA_004,52944.95,985
2023-02-25,DMA_005,58846.08,1299
2023-02-25,DMA_006,65939.21,1253
2023-02-25,DMA_007,74826.95,1566
2023-02-25,DMA_008,85340.86,1573
2023-02-25,DMA_009,87666.94,1622
2023-02-25,DMA_010,89989.84,1639
2023-02-26,DMA_001,35067.11,666
2023-02-26,DMA_002,38125.09,782
2023-02-26,DMA_003,44862.93,985
2023-02-26,DMA_004,53700.63,1118
2023-02-26,DMA_005,62471.66,1272
2023-02-26,DMA_006,68810.35,1488
2023-02-26,DMA_007,77475.52,1680
2023-02-26,DMA_008,84404.08,1713
2023-02-26,DMA_009,95002.69,1742
2023-02-26,DMA_010,100250.96,2132
2023-02-27,DMA_001,31541.68,606
2023-02-27,DMA_002,34557.17,640
2023-02-27,DMA_003,37973.85,770
2023-02-27,DMA_004,48104.35,995
2023-02-27,DMA_005,54654.65,1092
2023-02-27,DMA_006,60268.54,1221
2023-02-27,DMA_007,62900.42,1176
2023-02-27,DMA_008,75147.94,1510
2023-02-27,DMA_009,73367.73,1415
2023-02-27,DMA_010,77582.24,1504
2023-02-28,DMA_001,31639.65,589
2023-02-28,DMA_002,34955.46,658
2023-02-28,DMA_003,42433.83,855
2023-02-28,DMA_004,47905.89,996
2023-02-28,DMA_005,52413.33,1012
2023-02-28,DMA_006,58485.65,1152
2023-02-28,DMA_007,66706.22,1433
2023-02-28,DMA_008,68821.64,1403
2023-02-28,DMA_009,79896.15,1489
2023-02-28,DMA_010,79861.02,1664
2023-03-01,DMA_001,34945.78,747
2023-03-01,DMA_002,44116.54,853
2023-03-01,DMA_003,50590.1,938
2023-03-01,DMA_004,62315.05,1181
2023-03-01,DMA_005,66250.92,1219
2023-03-01,DMA_006,71404.25,1497
2023-03-01,DMA_007,83266.26,1530
2023-03-01,DMA_008,90659.77,1841
2023-03-01,DMA_009,97800.3,1782
2023-03-01,DMA_010,102249.41,2174
2023-03-02,DMA_001,33788.48,728
2023-03-02,DMA_002,44970.37,888
2023-03-02,DMA_003,51809.79,962
2023-03-02,DMA_004,56909.29,1132
2023-03-02,DMA_005,64283.46,1316
2023-03-02,DMA_006,70974.18,1299
2023-03-02,DMA_007,84015.49,1620
2023-03-02,DMA_008,95437.01,2075
2023-03-02,DMA_009,100501.52,2172
2023-03-02,DMA_010,100112.09,2214
2023-03-03,DMA_001,36016.21,677
2023-03-03,DMA_002,43794.23,797
2023-03-03,DMA_003,50546.83,1021
2023-03-03,DMA_004,61442.98,1277
2023-03-03,DMA_005,68774.16,1338
2023-03-03,DMA_006,72649.31,1565
2023-03-03,DMA_007,79781.12,1623
2023-03-03,DMA_008,93521.99,1734
2023-03-03,DMA_009,97953.26,2165
2023-03-03,DMA_010,104147.04,2105
2023-03-04,DMA_001,41730.09,771
2023-03-04,DMA_002,51198.54,1035
2023-03-04,DMA_003,58263.95,1192
2023-03-04,DMA_004,63138.2,1350
2023-03-04,DMA_005,71759.8,1540
2023-03-04,DMA_006,85763.3,1638
2023-03-04,DMA_007,96869.49,1832
2023-03-04,DMA_008,110534.78,2376
2023-03-04,DMA_009,115130.08,2260
2023-03-04,DMA_010,120667.1,2315
2023-03-05,DMA_001,40413.72,827
2023-03-05,DMA_002,47331.34,880
2023-03-05,DMA_003,58827.36,1113
2023-03-05,DMA_004,60793.83,1150
2023-03-05,DMA_005,76202.69,1457
2023-03-05,DMA_006,74751.86,1443
2023-03-05,DMA_007,87699.38,1812
2023-03-05,DMA_008,106614.37,2265
2023-03-05,DMA_009,110069.42,2215
2023-03-05,DMA_010,126031.51,2309
2023-03-06,DMA_001,34550.93,641
2023-03-06,DMA_002,43987.1,871
2023-03-06,DMA_003,48705.59,888
2023-03-06,DMA_004,64766.94,1249
2023-03-06,DMA_005,69934.86,1302
2023-03-06,DMA_006,67864.15,1486
2023-03-06,DMA_007,83971.38,1722
2023-03-06,DMA_008,86155.51,1724
2023-03-06,DMA_009,92369.61,1735
2023-03-06,DMA_010,107372.79,2217
2023-03-07,DMA_001,34430.43,710
2023-03-07,DMA_002,43815.92,852
2023-03-07,DMA_003,47886.66,880
2023-03-07,DMA_004,57193.34,1155
2023-03-07,DMA_005,62132.29,1319
2023-03-07,DMA_006,70366.07,1404
2023-03-07,DMA_007,80578.91,1532
2023-03-07,DMA_008,87028.72,1762
2023-03-07,DMA_009,95013.69,2024
2023-03-07,DMA_010,101593.73,2143
2023-03-08,DMA_001,35732.52,655
2023-03-08,DMA_002,44051.15,802
2023-03-08,DMA_003,49269.3,965
2023-03-08,DMA_004,58387.95,1277
2023-03-08,DMA_005,70957.68,1526
2023-03-08,DMA_006,79119.77,1503
2023-03-08,DMA_007,80219.99,1758
2023-03-08,DMA_008,84585.0,1715
2023-03-08,DMA_009,104047.18,2181
2023-03-08,DMA_010,99832.2,1950
2023-03-09,DMA_001,33032.74,630
2023-03-09,DMA_002,41159.93,856
2023-03-09,DMA_003,50900.78,1112
2023-03-09,DMA_004,62653.93,1245
2023-03-09,DMA_005,62303.37,1183
2023-03-09,DMA_006,73837.01,1582
2023-03-09,DMA_007,87067.71,1867
2023-03-09,DMA_008,97282.49,1883
2023-03-09,DMA_009,103167.79,2021
